iter	Logloss
0	0.646506897
1	0.6036936646
2	0.5649658203
3	0.5297141113
4	0.4969664307
5	0.4683046265
6	0.4429616394
7	0.4167193909
8	0.3922258301
9	0.369493927
10	0.3491929321
11	0.3300141907
12	0.3118323975
13	0.2954552002
14	0.2795080261
15	0.2647028198
16	0.2508437958
17	0.2377979126
18	0.2258406677
19	0.2148442078
20	0.2037512054
21	0.1941562958
22	0.1846598511
23	0.175437973
24	0.1672841339
25	0.1594511414
26	0.1519105682
27	0.1444223022
28	0.1374813385
29	0.1311057129
30	0.1249031525
31	0.1188010864
32	0.1132396164
33	0.1079436646
34	0.1029796295
35	0.09814355469
36	0.09399702454
37	0.08990974426
38	0.0861124115
39	0.08222457886
40	0.07840158081
41	0.07491352844
42	0.07170233917
43	0.0685813446
44	0.06554116821
45	0.06271705246
46	0.06009230423
47	0.05740701675
48	0.0553187027
49	0.05318622589
